date,type,categorie,montant,description
2026-04-01,revenu,salaire,1500,Salaire mensuel
2026-04-02,depense,loyer,700,Loyer appartement
2026-04-03,depense,transport,86,Navigo mensuel
2026-04-04,depense,nourriture,120,Courses alimentaires
2026-04-05,depense,loisirs,45,Cinéma et sortie
2026-04-06,depense,abonnement,15,Netflix
2026-04-07,depense,telephone,20,Forfait mobile
2026-04-08,revenu,job_etudiant,300,Job week-end
2026-04-09,depense,restaurant,60,Restaurant
2026-04-10,depense,sante,35,Pharmacie
2026-04-11,depense,loisirs,250,Dépense inhabituelle
2026-04-12,depense,transport,90,Transport supplémentaire
2026-04-13,revenu,aide_familiale,200,Aide familiale
2026-04-14,depense,nourriture,95,Courses alimentaires
2026-04-15,depense,abonnement,15,Netflix
