date,type,categorie,montant,description,is_anomaly,solde_apres_transaction
2025-09-01,revenu,salaire,1677,Salaire mensuel,0,2177
2025-09-02,depense,loyer,648,Loyer mensuel,0,1529
2025-09-02,revenu,aide_familiale,485,Transfert famille,0,2014
2025-09-03,depense,transport,75,Navigo mensuel,0,1939
2025-09-03,depense,formation,55,Cours en ligne,0,1884
2025-09-05,depense,telephone,23,Forfait mobile,0,1861
2025-09-06,depense,abonnement,15,Abonnement mensuel,0,1846
2025-09-06,revenu,aide_familiale,395,Aide familiale,0,2241
2025-09-07,depense,fournitures,81,Accessoires,0,2160
2025-09-07,revenu,bourse,438,Bourse étudiante,0,2598
2025-09-10,depense,telephone,21,Recharge téléphone,0,2577
2025-09-11,revenu,aide_familiale,409,Transfert famille,0,2986
2025-09-11,depense,restaurant,37,Restaurant,0,2949
2025-09-12,depense,sante,88,Pharmacie,0,2861
2025-09-12,revenu,aide_familiale,422,Revenu complémentaire,0,3283
2025-09-13,depense,assurance,27,Assurance santé,0,3256
2025-09-13,depense,shopping,23,Achat vêtements,0,3233
2025-09-13,depense,shopping,155,Achat vêtements,0,3078
2025-09-13,depense,abonnement,21,Prime,0,3057
2025-09-15,revenu,salaire,1390,Salaire mensuel,0,4447
2025-09-16,depense,loyer,719,Loyer mensuel,0,3728
2025-09-16,depense,telephone,22,Forfait mobile,0,3706
2025-09-16,depense,abonnement,59,Netflix,0,3647
2025-09-17,depense,formation,213,Livre technique,0,3434
2025-09-17,depense,formation,149,Formation,0,3285
2025-09-17,depense,formation,171,Cours en ligne,0,3114
2025-09-18,revenu,aide_familiale,419,Transfert famille,0,3533
2025-09-19,depense,energie,79,Énergie,0,3454
2025-09-20,revenu,job_etudiant,429,Job week-end,0,3883
2025-09-22,depense,fournitures,89,Accessoires,0,3794
2025-09-22,depense,nourriture,138,Courses alimentaires,0,3656
2025-09-24,depense,assurance,27,Assurance habitation,0,3629
2025-09-25,depense,telephone,21,Recharge téléphone,0,3608
2025-09-26,revenu,aide_familiale,216,Transfert famille,0,3824
2025-09-27,depense,shopping,124,Shopping,0,3700
2025-09-28,depense,loisirs,83,Activité loisir,0,3617
2025-09-29,revenu,aide_familiale,222,Aide familiale,0,3839
2025-09-30,revenu,aide_familiale,191,Transfert famille,0,4030
2025-09-30,depense,restaurant,71,Repas extérieur,0,3959
